pr,channel,existing_mechanism_category,existing_evidence_summary,title
13833,contract_metadata,missing_validation_or_contract_check,"Diff shows the real bug is unhandled idle/disjoint qubits in Sabre's routing-permutation tracking with disjoint backends -- a missing case, not a representation-boundary conversion. Neither the original nor the third-coder's read was correct; this is a third answer found only by reading the diff.",Fix tracking of routing permutation in Sabre with disjoint backends
13910,contract_metadata,cross_representation_conversion,Diff confirms DAGCircuit.name was not propagated through ApplyLayout's DAG-to-DAG conversion -- genuine representation-conversion metadata loss.,Propagate DAGCircuit.name in ApplyLayout
13945,contract_metadata,cross_representation_conversion,Diff confirms composing virtual permutation layouts across ElidePermutations/StarPreRouting -- explicit cross-pass layout composition bug.,Fix composing virtual permutation layouts for ElidePermutations and StarPreRouting
14041,contract_metadata,api_plumbing_or_serialization,Diff confirms deepcopy/pickle serialization bug for DAGCircuit variable IO nodes.,Fix deepcopy/pickle of DAGCircuit variable IO nodes
14603,contract_metadata,rust_port_metadata_loss,"Kept on independently verified git archaeology: introduced by cbb4d5d5, 'Port ElidePermutations to Rust #13094' -- not derived from PR text alone.",Fix ElidePermutations pass in the presence of PermutationGates
14730,determinism,nondeterministic_ordering,Diff-checked in prior session phase; confirmed non-determinism in VF2Layout with only 1q gates.,Fix non-determinism VF2Layout with only 1q gates
14763,determinism,nondeterministic_ordering,Diff-checked in prior session phase; confirmed non-determinism in CommutativeCancellation iteration order.,Fix non-determinism in CommutativeCancellation
14919,contract_metadata,cross_representation_conversion,Diff-checked in prior session phase; confirmed composition of final_layout across passes.,Fix composition of final_layout
14938,contract_metadata,missing_validation_or_contract_check,"Diff shows the real bug is unhandled idle qubits in VF2 layout allocation -- the same missing-case pattern as #13833, not a plain one-off logic error.",Fix VF2 layout allocation with idle qubits
14939,contract_metadata,logic_error_pass_specific,"Diff-checked in prior session phase: TranspileLayout.initial_index_layout bug with unordered virtuals is a specific ordering/logic bug within one function, not a representation-boundary conversion.",Fix TranspileLayout.initial_index_layout with unordered virtuals
14956,global_phase,global_phase_bookkeeping,Original coding only (not re-diffed in this pass; title explicitly names global-phase handling).,Fix global-phase handling in CommutativeCancellation
15024,contract_metadata,rust_port_metadata_loss,"Kept on independently verified git archaeology: introduced by dd826996, 'Port ApplyLayout to Rust #14904'.",Preserve registers through Python Layout to Rust TranspileLayout conversion
15040,determinism,nondeterministic_ordering,Diff-checked in prior session phase; confirmed DAG push-edge ordering non-determinism.,Fix DAG push-edge ordering non-determinism
15137,contract_metadata,cross_representation_conversion,Diff-checked (reverted from an earlier wrong title-based flip): genuine representation-conversion bug in HLS custom-gate-calibration handling.,Fix HighLevelSynthesis for custom gate calibrations
15943,global_phase,global_phase_bookkeeping,Diff confirms circuit_to_dagdependency and TemplateSubstitution both failed to copy/update global_phase.,Fix TemplateOptimization dropping the global_phase on substitution
16201,global_phase,global_phase_bookkeeping,"Diff confirms UnrollForLoops didn't reset the unrolled DAG's global_phase to 0 before accumulating the body's phase per iteration, double-counting it.",Fix excessive global-phase accumulation in UnrollForLoops
16215,global_phase,global_phase_bookkeeping,"Diff confirms Commuting2qGateRouter's accumulator DAG didn't reset global_phase to 0, adding the circuit's phase multiple times across compositions.",Preserve global phase in Commuting2qGateRouter
16237,determinism,nondeterministic_ordering,Diff confirms a set intersection (KAK_GATE_NAMES.keys() & basis_gates) produced non-deterministic basis-gate selection order; replaced with deterministic iteration.,Fix non-deterministic ConsolidateBlocks output with fixed transpiler seed
16402,global_phase,global_phase_bookkeeping,"Diff confirms a -PI phase correction for 2-pi-multiple rotations was applied unconditionally, but is only valid for RX/RZ (not PhaseGate/U1Gate); gated the correction accordingly.",Fix incorrect global phase shift for P and U1 gates in CommutativeCancellation
