pr,pr_url,title,your_mechanism_category,your_confidence(high/med/low),your_diff_evidence
13833,https://github.com/Qiskit/qiskit/pull/13833,Fix tracking of routing permutation in Sabre with disjoint backends,,,
13910,https://github.com/Qiskit/qiskit/pull/13910,Propagate DAGCircuit.name in ApplyLayout,,,
13945,https://github.com/Qiskit/qiskit/pull/13945,Fix composing virtual permutation layouts for ElidePermutations and StarPreRouting,,,
14041,https://github.com/Qiskit/qiskit/pull/14041,Fix deepcopy/pickle of DAGCircuit variable IO nodes,,,
14603,https://github.com/Qiskit/qiskit/pull/14603,Fix ElidePermutations pass in the presence of PermutationGates,,,
14730,https://github.com/Qiskit/qiskit/pull/14730,Fix non-determinism VF2Layout with only 1q gates,,,
14763,https://github.com/Qiskit/qiskit/pull/14763,Fix non-determinism in CommutativeCancellation,,,
14919,https://github.com/Qiskit/qiskit/pull/14919,Fix composition of final_layout,,,
14938,https://github.com/Qiskit/qiskit/pull/14938,Fix VF2 layout allocation with idle qubits,,,
14939,https://github.com/Qiskit/qiskit/pull/14939,Fix TranspileLayout.initial_index_layout with unordered virtuals,,,
14956,https://github.com/Qiskit/qiskit/pull/14956,Fix global-phase handling in CommutativeCancellation,,,
15024,https://github.com/Qiskit/qiskit/pull/15024,Preserve registers through Python Layout to Rust TranspileLayout conversion,,,
15040,https://github.com/Qiskit/qiskit/pull/15040,Fix DAG push-edge ordering non-determinism,,,
15137,https://github.com/Qiskit/qiskit/pull/15137,Fix HighLevelSynthesis for custom gate calibrations,,,
15943,https://github.com/Qiskit/qiskit/pull/15943,Fix TemplateOptimization dropping the global_phase on substitution,,,
16201,https://github.com/Qiskit/qiskit/pull/16201,Fix excessive global-phase accumulation in UnrollForLoops,,,
16215,https://github.com/Qiskit/qiskit/pull/16215,Preserve global phase in Commuting2qGateRouter,,,
16237,https://github.com/Qiskit/qiskit/pull/16237,Fix non-deterministic ConsolidateBlocks output with fixed transpiler seed,,,
16402,https://github.com/Qiskit/qiskit/pull/16402,Fix incorrect global phase shift for P and U1 gates in CommutativeCancellation,,,
