pr,channel,mechanism_category_draft,mechanism_category_evidence_verified,changed,evidence_summary,title
13670,output_semantic,commutation_checker_defect,commutation_checker_defect,no,"Diff confirms fix is inside CommutationChecker: 4-pi periodicity handling for controlled rotations.",Fix 4-pi periodicity of controlled rotations in the CommutationChecker
13790,output_semantic,control_flow_gap,control_flow_gap,no,"Diff confirms SabreSwap was contracting/collapsing control-flow op blocks it should have routed through; explicit ControlFlowOp handling gap.",Do not contract control-flow operations during SabreSwap
13820,compilation_failure,api_plumbing_or_serialization,api_plumbing_or_serialization,no,"Diff confirms BasePass.__call__ delegation plumbing bug, not a representation or validation issue.",Delegate BasePass.__call__ to PassManager.run
13833,contract_metadata,cross_representation_conversion,missing_validation_or_contract_check,YES,"Diff shows the real bug is unhandled idle/disjoint qubits in Sabre's routing-permutation tracking with disjoint backends -- a missing case, not a representation-boundary conversion. Neither the original nor the third-coder's read was correct; this is a third answer found only by reading the diff.",Fix tracking of routing permutation in Sabre with disjoint backends
13874,output_semantic,commutation_checker_defect,commutation_checker_defect,no,"Diff confirms fix is inside CommutationChecker: average gate fidelity used for approximate commutation.",Use average gate fidelity in the commutation checker
13910,contract_metadata,cross_representation_conversion,cross_representation_conversion,no,"Diff confirms DAGCircuit.name was not propagated through ApplyLayout's DAG-to-DAG conversion -- genuine representation-conversion metadata loss.",Propagate DAGCircuit.name in ApplyLayout
13945,contract_metadata,cross_representation_conversion,cross_representation_conversion,no,"Diff confirms composing virtual permutation layouts across ElidePermutations/StarPreRouting -- explicit cross-pass layout composition bug.",Fix composing virtual permutation layouts for ElidePermutations and StarPreRouting
14041,contract_metadata,api_plumbing_or_serialization,api_plumbing_or_serialization,no,"Diff confirms deepcopy/pickle serialization bug for DAGCircuit variable IO nodes.",Fix deepcopy/pickle of DAGCircuit variable IO nodes
14330,compilation_failure,unchecked_numeric_edge_case,missing_validation_or_contract_check,YES,"Diff shows CheckDurations simply had no case for stretch-based delays and needed to skip alignment checking for them entirely -- a missing special case, not a numeric overflow/panic.",Fix alignment checks of stretch variables
14405,circuit_quality,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Original coding only (not re-diffed in this pass; title/channel consistent with category, low risk).",Read timing constraints from target when no backend is provided
14597,output_semantic,control_flow_gap,cross_representation_conversion,YES,"Diff shows the bug is in HighLevelSynthesis unrolling a custom instruction's LOCAL clbit indices directly as outer-circuit indices (Clbit(c.0)) instead of mapping through the actual outer clbits (op_clbits[c.0]) -- a local-vs-outer index-space bug, not something ControlFlowOp-specific despite the title.",Fix HLS classical-bit mapping from control-flow blocks
14603,contract_metadata,rust_port_metadata_loss,rust_port_metadata_loss,no,"Kept on independently verified git archaeology: introduced by cbb4d5d5, 'Port ElidePermutations to Rust #13094' -- not derived from PR text alone.",Fix ElidePermutations pass in the presence of PermutationGates
14606,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Original coding only (not re-diffed in this pass).",Fix ApplyLayout with empty layout
14655,output_semantic,control_flow_gap,control_flow_gap,no,"Original coding only (not re-diffed in this pass; title explicitly names control-flow/Clifford/non-invertible handling).",Fix CommutativeInverseCancellation for Clifford control-flow and non-invertible operations
14667,compilation_failure,logic_error_pass_specific,logic_error_pass_specific,no,"Original coding only (not re-diffed in this pass).",Restore correct max_trials behaviour for VF2Layout pass
14670,output_semantic,logic_error_pass_specific,logic_error_pass_specific,no,"Original coding only (not re-diffed in this pass).",Fix MCX dirty-ancilla qubit accounting in HLS selection
14730,determinism,nondeterministic_ordering,nondeterministic_ordering,no,"Diff-checked in prior session phase; confirmed non-determinism in VF2Layout with only 1q gates.",Fix non-determinism VF2Layout with only 1q gates
14763,determinism,nondeterministic_ordering,nondeterministic_ordering,no,"Diff-checked in prior session phase; confirmed non-determinism in CommutativeCancellation iteration order.",Fix non-determinism in CommutativeCancellation
14765,output_semantic,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Diff-checked in prior session phase; confirmed Target.py_instruction_supported behavior gap.",Fix Target.py_instruction_supported behavior
14869,circuit_quality,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"FLAGGED DATA-INTEGRITY ISSUE: the DRAFT csv's title ('Do not run VF2PostLayout when an explicit layout is supplied') does not match this PR's actual diff content, which is about free_nodes/strict_direction combinatorial-explosion handling in VF2PostLayout and re-enabling the pass at opt level 3. Category kept as missing_validation_or_contract_check (a missing threshold/case for free-qubit combinatorics fits that diff), but the underlying corpus's PR-to-title mapping for this row should be checked separately.",Do not run VF2PostLayout when an explicit layout is supplied [TITLE MISMATCH -- SEE NOTE]
14919,contract_metadata,cross_representation_conversion,cross_representation_conversion,no,"Diff-checked in prior session phase; confirmed composition of final_layout across passes.",Fix composition of final_layout
14938,contract_metadata,logic_error_pass_specific,missing_validation_or_contract_check,YES,"Diff shows the real bug is unhandled idle qubits in VF2 layout allocation -- the same missing-case pattern as #13833, not a plain one-off logic error.",Fix VF2 layout allocation with idle qubits
14939,contract_metadata,cross_representation_conversion,logic_error_pass_specific,YES,"Diff-checked in prior session phase: TranspileLayout.initial_index_layout bug with unordered virtuals is a specific ordering/logic bug within one function, not a representation-boundary conversion.",Fix TranspileLayout.initial_index_layout with unordered virtuals
14956,global_phase,global_phase_bookkeeping,global_phase_bookkeeping,no,"Original coding only (not re-diffed in this pass; title explicitly names global-phase handling).",Fix global-phase handling in CommutativeCancellation
14978,output_semantic,cross_representation_conversion,commutation_checker_defect,YES,"Diff-checked in prior session phase: real bug is a CommutationChecker correctness defect for controlled gates with non-all-ones control state, not a PyGate/representation issue as the original title implied.",Un-provide standard_operation for PyGate
14998,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Diff-checked in prior session phase; confirmed VF2PostLayout uncoupled-qubit handling gap with strict_direction=True.",Fix VF2PostLayout with uncoupled qubits in strict_direction=True
15024,contract_metadata,rust_port_metadata_loss,rust_port_metadata_loss,no,"Kept on independently verified git archaeology: introduced by dd826996, 'Port ApplyLayout to Rust #14904'.",Preserve registers through Python Layout to Rust TranspileLayout conversion
15040,determinism,nondeterministic_ordering,nondeterministic_ordering,no,"Diff-checked in prior session phase; confirmed DAG push-edge ordering non-determinism.",Fix DAG push-edge ordering non-determinism
15074,compilation_failure,api_plumbing_or_serialization,api_plumbing_or_serialization,no,"Diff-checked in prior session phase; confirmed pickling bug for SabreSwap.",Fix pickling of SabreSwap
15083,output_semantic,control_flow_gap,control_flow_gap,no,"Diff confirms ConsolidateBlocks checked gate support using local block-qubit indices instead of mapping to physical qubits when recursing into control-flow blocks.",Fix ConsolidateBlocks qubit mapping inside control-flow blocks
15110,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Diff confirms raw NodeIndex construction could panic on stale/invalid indices; replaced with checked validation raising a Python exception.",Raise exception not panic on bad ConsolidateBlocks input
15117,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Diff confirms .unwrap() panics replaced with proper error propagation when circuit exceeds target's qubit/gate capacity.",Avoid panics in Optimize1qGatesDecomposition
15131,circuit_quality,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Diff confirms a missing filter excluding non-parameterized target gate entries from being used as decomposition basis.",Check target gates are parameterized in optimize1qgatesdecomposition
15137,contract_metadata,cross_representation_conversion,cross_representation_conversion,no,"Diff-checked (reverted from an earlier wrong title-based flip): genuine representation-conversion bug in HLS custom-gate-calibration handling.",Fix HighLevelSynthesis for custom gate calibrations
15143,output_semantic,control_flow_gap,control_flow_gap,no,"Diff confirms BasisTranslator used local block-qubit indices instead of absolute indices for non-global-operation qargs checks inside ControlFlowOp blocks; kept as control_flow_gap (explicit ControlFlowOp context is the primary framing, consistent with #15083).",Fix control-flow qargs handling in BasisTranslator
15147,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Diff confirms schedule analysis passes crashed on empty circuits ('No durations provided'); fixed with an early-return guard.",Fix schedule analysis passes with empty circuits
15258,compilation_failure,stateful_reuse_or_global_cache,stateful_reuse_or_global_cache,no,"Diff confirms a real regression: self._qubit_map persisted incorrectly across multiple .run() calls on different circuits; moved into PropertySet (per-run).",Fix reuse of ConsolidateBlocks instances
15286,output_semantic,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Diff confirms self._basis_gates wasn't set from target.operation_names, so a plugin reading only basis_gates got stale/missing info -- Target contract not honored.",Respect Target when selecting a non-default UnitarySynthesis plugin
15401,output_semantic,logic_error_pass_specific,logic_error_pass_specific,no,"Diff confirms a wrong argument type passed to generate_unroll_3q in Clifford+T transpilation -- a single-call-site logic bug.",Fix incorrect argument passed to generate_unroll_3q in Clifford+T transpilation
15556,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Diff confirms unsigned-integer underflow (n.div_ceil(2)-1) for zero-length permutation synthesis; fixed with saturating_sub.",Fix zero-length permutation synthesis overflow
15626,compilation_failure,control_flow_gap,control_flow_gap,no,"Diff confirms BreakLoopOp/ContinueLoopOp nodes were incorrectly treated as having .blocks in a control-flow filter, causing an AttributeError; explicit ControlFlowOp-variant handling gap.",Fix BreakLoopOp object has no attribute blocks bug
15685,output_semantic,missing_validation_or_contract_check,logic_error_pass_specific,YES,"Diff shows QubitTracker.replace_state used a wrong index range (input_qubits.len()..synthesized_qubits.len() via Qubit::new) instead of the real synthesized_qubits values -- a single-function indexing bug, not a missing check.",Fix HLS qubit tracking for plugin-generated operations
15781,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Diff confirms multiple unsigned n-1/n-2 subtractions underflow for n=0,1; fixed with saturating_sub and n<=1 guards.",Fix synth_clifford_depth_lnn for single-qubit Clifford circuits
15875,compilation_failure,control_flow_gap,control_flow_gap,no,"Diff confirms nested ControlFlowOp block translations were silently dropped due to an is_updated flag bug in BasisTranslator's apply_translation.",Fix BasisTranslator processing of nested ControlFlowOp
15933,compilation_failure,commutation_checker_defect,commutation_checker_defect,no,"Diff confirms a variable mixup (qargs2 used instead of the correct operand) in CommutationChecker's matrix-size validation, allowing oversized matrices through for certain orderings.",Fix matrix-size validation in CommutationChecker
15943,global_phase,global_phase_bookkeeping,global_phase_bookkeeping,no,"Diff confirms circuit_to_dagdependency and TemplateSubstitution both failed to copy/update global_phase.",Fix TemplateOptimization dropping the global_phase on substitution
15967,circuit_quality,logic_error_pass_specific,logic_error_pass_specific,no,"Diff confirms MinPointState::update_with detected an improved DAG but never stored it (missing self.best_dag = dag.clone()) -- a specific state-tracking bug within one optimization loop, not cross-invocation state reuse.",Fix stale best-DAG update in C transpiler optimization level 3
16004,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Diff confirms 2_u32.pow() integer overflow for 32+ qubit QFT synthesis; replaced with f64 exponentiation.",Fix synth_qft_line failure for circuits with 32 or more qubits
16023,output_semantic,commutation_checker_defect,commutation_checker_defect,no,"Diff confirms special-cased handling added to CommutationChecker for two Pauli product measurements writing to the same classical bit.",Fix commutation checking between two Pauli product measurements
16054,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Diff confirms a Rust panic when global_phase contains a ParameterVectorElement during a GIL-released computation; fixed by zeroing/restoring phase around the release.",Fix ParameterVector global-phase panic in RemoveIdentityEquivalent
16075,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Diff confirms force_consolidate=True silently skipped consolidation when no 2q decomposer could be selected from the basis; fixed with a default fallback.",Fix forced ConsolidateBlocks decomposition for incomplete bases
16151,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Diff-checked in prior session phase (reverted from an earlier wrong override): confirmed as the third coder read it.",Fix ConstrainedReschedule barrier handling
16153,output_semantic,logic_error_pass_specific,logic_error_pass_specific,no,"Diff confirms CS/CSdg cancellation was inconsistently applied for reversed-qubit-order pairs due to a missing symmetric-gate flag -- a specific gate-pair bug.",Fix cancellation of CS and CSdg in InverseCancellation
16154,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Diff confirms a Rust panic on non-square/malformed matrix input to synth_cz_depth_line_mr, replaced with a proper ValueError plus trivial 0x0/1x1 handling.",Add safe shape checking to synth_cz_depth_line_mr
16163,output_semantic,logic_error_pass_specific,logic_error_pass_specific,no,"Diff confirms XXPlusYY was incorrectly included in a blanket 'always symmetric' gate list when it is only symmetric for special parameter values; fixed with a tolerance-based special case.",Fix unsafe symmetric simplification of XXPlusYY in CommutativeOptimization
16201,global_phase,global_phase_bookkeeping,global_phase_bookkeeping,no,"Diff confirms UnrollForLoops didn't reset the unrolled DAG's global_phase to 0 before accumulating the body's phase per iteration, double-counting it.",Fix excessive global-phase accumulation in UnrollForLoops
16215,global_phase,global_phase_bookkeeping,global_phase_bookkeeping,no,"Diff confirms Commuting2qGateRouter's accumulator DAG didn't reset global_phase to 0, adding the circuit's phase multiple times across compositions.",Preserve global phase in Commuting2qGateRouter
16237,determinism,nondeterministic_ordering,nondeterministic_ordering,no,"Diff confirms a set intersection (KAK_GATE_NAMES.keys() & basis_gates) produced non-deterministic basis-gate selection order; replaced with deterministic iteration.",Fix non-deterministic ConsolidateBlocks output with fixed transpiler seed
16246,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Diff confirms self.target was only assigned inside the 'if target is not None' branch, causing AttributeError when no target was supplied.",Initialize ConstrainedReschedule.target unconditionally
16249,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Diff confirms unsigned subtraction panics in ConstrainedReschedule replaced with saturating_sub.",Fix subtraction-underflow panic in ConstrainedReschedule
16285,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Diff confirms neg_log_fidelity returned f64::INFINITY for error>=1.0, cascading into a 'must not return nan' panic downstream; clamped to f64::MAX instead.",Fix panic on 1.0 error in VF2Layout
16310,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Diff confirms CouplingMap silently accepted self-loop edges (qubit coupled to itself); now warns and skips them.",Reject loopback edges in CouplingMap
16337,output_semantic,commutation_checker_defect,commutation_checker_defect,no,"Diff confirms CRX/CRY/CRZ controlled-rotation gates were missing correct entries in CommutationChecker's static commutation library/generator table.",Fix CommutationChecker for controlled rotation gates
16392,output_semantic,stateful_reuse_or_global_cache,stateful_reuse_or_global_cache,no,"Diff confirms rsgridsynth's internal precision-dependent cache became stale across repeated SynthesizeRZRotations runs with different error budgets; fixed by clearing caches at the start of each run.",Fix global cache of SynthesizeRZRotations
16402,global_phase,global_phase_bookkeeping,global_phase_bookkeeping,no,"Diff confirms a -PI phase correction for 2-pi-multiple rotations was applied unconditionally, but is only valid for RX/RZ (not PhaseGate/U1Gate); gated the correction accordingly.",Fix incorrect global phase shift for P and U1 gates in CommutativeCancellation
16409,output_semantic,commutation_checker_defect,commutation_checker_defect,no,"Diff confirms the gates filter in CommutationChecker was applied after matrix decomposition, so parameterized gates like RXGate were checked under the wrong name; also fixed empty-filter semantics.",Accept rotation gate names in CommutationChecker filters
16428,output_semantic,logic_error_pass_specific,logic_error_pass_specific,no,"Diff confirms modifiers.extend() appended nested annotation modifiers in the wrong order instead of prepending, producing an incorrect combined control state for open controls -- single-function ordering bug.",Correctly combining control modifiers in OptimizeAnnotated
16476,performance,stateful_reuse_or_global_cache,stateful_reuse_or_global_cache,no,"Diff confirms Target's internal qarg_gate_map changed from HashMap to IndexMap for deterministic, cache-friendlier iteration order on large coupling maps -- a global-map cache/iteration-order fix.",Fix cache and prediction misses in Target::qargs
