pr,channel,mechanism_category_original,mechanism_category_adjudicated,changed,adjudication_reasoning,title
13670,output_semantic,commutation_checker_defect,commutation_checker_defect,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix 4-pi periodicity of controlled rotations in the CommutationChecker
13790,output_semantic,control_flow_gap,control_flow_gap,no,"Title explicitly says ""control-flow operations"".",Do not contract control-flow operations during SabreSwap
13820,compilation_failure,api_plumbing_or_serialization,api_plumbing_or_serialization,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Delegate BasePass.__call__ to PassManager.run
13833,contract_metadata,cross_representation_conversion,logic_error_pass_specific,yes,Sabre bug is within its own permutation construction; no named second representation crossed. Coder agreed with high confidence.,Fix tracking of routing permutation in Sabre with disjoint backends
13874,output_semantic,commutation_checker_defect,commutation_checker_defect,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Use average gate fidelity in the commutation checker
13910,contract_metadata,cross_representation_conversion,logic_error_pass_specific,yes,Single-attribute (DAGCircuit.name) propagation gap is too thin to count as a representation conversion.,Propagate DAGCircuit.name in ApplyLayout
13945,contract_metadata,cross_representation_conversion,cross_representation_conversion,no,"Title explicitly names composing across two named passes (ElidePermutations, StarPreRouting) -- text-explicit conversion. Coder agreed.",Fix composing virtual permutation layouts for ElidePermutations and StarPreRouting
14041,contract_metadata,api_plumbing_or_serialization,api_plumbing_or_serialization,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix deepcopy/pickle of DAGCircuit variable IO nodes
14330,compilation_failure,unchecked_numeric_edge_case,logic_error_pass_specific,yes,"Applying the wrong stage's alignment check to stretch-based delays is a layering/timing-of-check issue, not a numeric overflow/panic.",Fix alignment checks of stretch variables
14405,circuit_quality,missing_validation_or_contract_check,missing_validation_or_contract_check,no,Adds handling for an unhandled case (no backend provided).,Read timing constraints from target when no backend is provided
14597,output_semantic,control_flow_gap,cross_representation_conversion,yes,"Coder's read (local block-index space vs global circuit-index space) is a more precise, defensible conversion story than the original control_flow_gap call.",Fix HLS classical-bit mapping from control-flow blocks
14603,contract_metadata,rust_port_metadata_loss,rust_port_metadata_loss,no,"KEPT rust_port_metadata_loss on independently verified git archaeology (introduced by cbb4d5d5, ""Port ElidePermutations to Rust #13094"") -- NOT because the PR text itself names a Rust port. This is a documented exception: the coder correctly could not derive this from PR text alone under blind-coding rules, which is why they called it logic_error_pass_specific. My original label used external knowledge inconsistently with the instructions I gave the coder.",Fix ElidePermutations pass in the presence of PermutationGates
14606,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,Explicit edge case (empty layout).,Fix ApplyLayout with empty layout
14655,output_semantic,control_flow_gap,control_flow_gap,no,"Title explicitly says ""control-flow"".","Fix CommutativeInverseCancellation for Clifford, control-flow, and non-invertible operations"
14667,compilation_failure,logic_error_pass_specific,logic_error_pass_specific,no,Original catch-all call; untouched by adjudication.,Restore correct max_trials behaviour for VF2Layout pass
14670,output_semantic,logic_error_pass_specific,logic_error_pass_specific,no,Original catch-all call; untouched by adjudication.,Fix MCX dirty-ancilla qubit accounting in HLS selection
14730,determinism,nondeterministic_ordering,nondeterministic_ordering,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix non-determinism VF2Layout with only 1q gates
14763,determinism,nondeterministic_ordering,nondeterministic_ordering,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix non-determinism in CommutativeCancellation
14765,output_semantic,missing_validation_or_contract_check,missing_validation_or_contract_check,no,The function itself is a support/validity check; its bug is the check being wrong -- validation-gap by definition.,Fix Target.py_instruction_supported behavior
14869,circuit_quality,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Explicit ""do not run when X"" -- a missing exemption/check.",Do not run VF2PostLayout when an explicit layout is supplied
14919,contract_metadata,cross_representation_conversion,cross_representation_conversion,no,Title explicitly names composition of final_layout across passes -- text-explicit. Coder agreed.,Fix composition of final_layout
14938,contract_metadata,logic_error_pass_specific,logic_error_pass_specific,no,Original catch-all call; untouched by adjudication.,Fix VF2 layout allocation with idle qubits
14939,contract_metadata,cross_representation_conversion,logic_error_pass_specific,yes,"Wrong indexing/ordering assumption within one function, not a composition across two pass conventions.",Fix TranspileLayout.initial_index_layout with unordered virtuals
14956,global_phase,global_phase_bookkeeping,global_phase_bookkeeping,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix global-phase handling in CommutativeCancellation
14978,output_semantic,cross_representation_conversion,cross_representation_conversion,no,Title explicitly names a specific second representation (PyGate) being converted/dropped -- text-explicit.,Un-provide standard_operation for PyGate
14998,compilation_failure,missing_validation_or_contract_check,missing_validation_or_contract_check,no,Explicit edge case (uncoupled qubits).,Fix VF2PostLayout with uncoupled qubits in strict_direction=True
15024,contract_metadata,rust_port_metadata_loss,rust_port_metadata_loss,no,"Title explicitly names ""Python Layout to Rust TranspileLayout conversion"" -- text-explicit AND independently git-verified (dd8269969, ""Port ApplyLayout to Rust #14904"").",Preserve registers through Python Layout to Rust TranspileLayout conversion
15040,determinism,nondeterministic_ordering,nondeterministic_ordering,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix DAG push-edge ordering non-determinism
15074,compilation_failure,api_plumbing_or_serialization,api_plumbing_or_serialization,no,Untouched by the sample; title explicitly names the qualifying pattern for this category.,Fix pickling of SabreSwap
15083,output_semantic,control_flow_gap,control_flow_gap,no,"Title explicitly says ""inside control-flow blocks"". Coder agreed.",Fix ConsolidateBlocks qubit mapping inside control-flow blocks
15110,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Title explicitly says panic (""Raise exception not panic"").",Raise exception not panic on bad ConsolidateBlocks input
15117,compilation_failure,unchecked_numeric_edge_case,unchecked_numeric_edge_case,no,"Title explicitly says panic (""Avoid panics in Optimize1qGatesDecomposition""). Coder agreed.",Avoid panics in Optimize1qGatesDecomposition
15131,circuit_quality,missing_validation_or_contract_check,missing_validation_or_contract_check,no,"Explicit: ""Check target gates are parameterized"" -- adds a check. Coder agreed.",Check target gates are parameterized in optimize1qgatesdecomposition
