pr,pr_url,title,your_mechanism_category,your_confidence,your_diff_evidence
13833,https://github.com/Qiskit/qiskit/pull/13833,Fix tracking of routing permutation in Sabre with disjoint backends,missing_validation_or_contract_check,high,"In `qiskit/transpiler/passes/layout/sabre_layout.py::run`, the diff detects a `final_layout` shorter than `physical_qubits` and inserts untouched qubits from unused disjoint coupling components as identity mappings. This restores the contract that the routing permutation covers all physical qubits."
13910,https://github.com/Qiskit/qiskit/pull/13910,Propagate DAGCircuit.name in ApplyLayout,cross_representation_conversion,med,"In `ApplyLayout.run`, the changed line propagates the input `dag.name` onto the newly constructed output DAG instead of dropping it during layout application. The fault is loss of circuit metadata while materializing the post-layout representation, rather than a serialization/API failure."
13945,https://github.com/Qiskit/qiskit/pull/13945,Fix composing virtual permutation layouts for ElidePermutations and StarPreRouting,cross_representation_conversion,high,"In the `virtual_permutation_layout` update used by `ElidePermutations` and `StarPreRouting`, the diff removes the erroneous `current_layout.inverse(...)` from the composition and composes the layouts in the correct convention. The root cause is a mismatch between the layout representations/conventions being combined."
14041,https://github.com/Qiskit/qiskit/pull/14041,Fix deepcopy/pickle of DAGCircuit variable IO nodes,api_plumbing_or_serialization,high,"In `crates/circuit/src/dag_circuit.rs` inside `DAGCircuit::pack_into`, the output-variable branch is corrected from `NodeType::VarIn(...)` to `NodeType::VarOut(...)`. That reconstruction path feeds deepcopy/pickle state, so the defect is in serialization/API state plumbing."
14603,https://github.com/Qiskit/qiskit/pull/14603,Fix ElidePermutations pass in the presence of PermutationGates,logic_error_pass_specific,high,"In `ElidePermutations`, the diff fixes the internal `mapping` update for a `PermutationGate` to follow `M[Q[i]] <- M[Q[P[i]]]` rather than the previous incorrect indexing. This is the pass's own permutation-update algorithm; the bad `virtual_permutation_layout` is downstream fallout."
14730,https://github.com/Qiskit/qiskit/pull/14730,Fix non-determinism VF2Layout with only 1q gates,nondeterministic_ordering,high,"In `crates/transpiler/src/passes/vf2/vf2_layout.rs`, the candidate sort now breaks equal-score ties with `qubit_b.cmp(qubit_a)` instead of leaving equal candidates in an unstable order. This makes 1q-only VF2 choices deterministic when scores tie."
14763,https://github.com/Qiskit/qiskit/pull/14763,Fix non-determinism in CommutativeCancellation,nondeterministic_ordering,high,"In `crates/transpiler/src/passes/commutation_analysis.rs` and `commutation_cancellation.rs`, iteration-bearing `HashMap`/`HashSet` structures are replaced by ordered `IndexMap`/vector forms, and the Python wrapper passes `sorted(self.basis)`. These changes remove hash/set iteration order from cancellation sequencing."
14919,https://github.com/Qiskit/qiskit/pull/14919,Fix composition of final_layout,cross_representation_conversion,high,"In `sabre_layout.py` and the `BasicSwap`, `LookaheadSwap`, and `SabreSwap` routing passes, the diff reverses `final_layout` accumulation so the existing layout composes with the newly produced layout (for example `prev_final_layout.compose(final_layout, ...)`). The bug was composition order between successive layout representations."
14938,https://github.com/Qiskit/qiskit/pull/14938,Fix VF2 layout allocation with idle qubits,missing_validation_or_contract_check,high,"The diff adds `vf2_utils.allocate_idle_qubits`, which fills every DAG qubit missing from the VF2 result with an unused physical qubit; both `VF2Layout.run` and `VF2PostLayout.run` call it before publishing their layouts. This repairs the layout contract for completely idle virtual qubits."
14939,https://github.com/Qiskit/qiskit/pull/14939,Fix TranspileLayout.initial_index_layout with unordered virtuals,cross_representation_conversion,med,"In `TranspileLayout.initial_index_layout` in `qiskit/transpiler/layout.py`, the diff stops treating the position from `enumerate(self.initial_layout.get_virtual_bits().items())` as the virtual-qubit index and instead uses the qubit's actual input index. Although dict order triggers the bug, the fix corrects a mapping-to-index-list representation mismatch rather than run-to-run hash nondeterminism."
