pr,pr_url,title,your_mechanism_category,your_confidence(high/med/low),your_notes
13833,https://github.com/Qiskit/qiskit/pull/13833,Fix tracking of routing permutation in Sabre with disjoint backends,logic_error_pass_specific,high,"Sabre omitted unused disjoint coupling components when constructing the routing permutation, leaving final layout/permutation tracking incomplete."
13910,https://github.com/Qiskit/qiskit/pull/13910,Propagate DAGCircuit.name in ApplyLayout,logic_error_pass_specific,med,ApplyLayout produced an output DAG without propagating DAGCircuit.name metadata; this is pass-specific metadata propagation rather than a distinct representation conversion.
13945,https://github.com/Qiskit/qiskit/pull/13945,Fix composing virtual permutation layouts for ElidePermutations and StarPreRouting,cross_representation_conversion,high,Permutation-layout composition used the wrong inverse/convention when combining virtual/final layouts across passes.
14041,https://github.com/Qiskit/qiskit/pull/14041,Fix deepcopy/pickle of DAGCircuit variable IO nodes,api_plumbing_or_serialization,high,A DAGCircuit pack/unpack typo changed Var output nodes into input nodes specifically during deepcopy or unpickling.
14603,https://github.com/Qiskit/qiskit/pull/14603,Fix ElidePermutations pass in the presence of PermutationGates,logic_error_pass_specific,high,"ElidePermutations updated its internal qubit mapping incorrectly for PermutationGate patterns, corrupting output and virtual_permutation_layout."
14919,https://github.com/Qiskit/qiskit/pull/14919,Fix composition of final_layout,cross_representation_conversion,high,final_layout composition used the routing permutation direction/convention backwards when composing layouts.
14938,https://github.com/Qiskit/qiskit/pull/14938,Fix VF2 layout allocation with idle qubits,logic_error_pass_specific,med,VF2 failed to allocate completely idle virtual qubits into its returned Layout; the fix completes the pass output rather than adding a validation check.
14939,https://github.com/Qiskit/qiskit/pull/14939,Fix TranspileLayout.initial_index_layout with unordered virtuals,logic_error_pass_specific,med,"initial_index_layout incorrectly treated enumerate(dict.items()) insertion position as the virtual-qubit index; this is a wrong ordering assumption, not run-to-run nondeterminism."
15024,https://github.com/Qiskit/qiskit/pull/15024,Preserve registers through Python Layout to Rust TranspileLayout conversion,rust_port_metadata_loss,high,The ApplyLayout Rust move explicitly dropped register metadata in Python Layout -> Rust TranspileLayout -> Python TranspileLayout conversion.
15137,https://github.com/Qiskit/qiskit/pull/15137,Fix HighLevelSynthesis for custom gate calibrations,logic_error_pass_specific,high,HLS failed to recognize custom gate calibrations when the calibrated gate appeared inside a nested instruction.
14330,https://github.com/Qiskit/qiskit/pull/14330,Fix alignment checks of stretch variables,logic_error_pass_specific,high,Scheduling alignment logic incorrectly applied alignment checks to stretch-based delays that are intended to be resolved by a lower-level compiler.
14597,https://github.com/Qiskit/qiskit/pull/14597,Fix HLS classical-bit mapping from control-flow blocks,cross_representation_conversion,med,HLS used classical-bit indices local to the nested high-level block instead of remapping them to the corresponding global-circuit indices.
15083,https://github.com/Qiskit/qiskit/pull/15083,Fix ConsolidateBlocks qubit mapping inside control-flow blocks,control_flow_gap,high,ConsolidateBlocks recursed into control-flow blocks without remapping block qubits back to hardware/global qubits.
15117,https://github.com/Qiskit/qiskit/pull/15117,Avoid panics in Optimize1qGatesDecomposition,unchecked_numeric_edge_case,high,The Rust pass could panic when an input circuit had more qubits than the backend/target supported; the boundary/shape mismatch is now handled instead of panicking.
15131,https://github.com/Qiskit/qiskit/pull/15131,Check target gates are parameterized in optimize1qgatesdecomposition,missing_validation_or_contract_check,high,The pass trusted target gate names without checking that the target operation was parameterized and valid for synthesis; the fix adds that validation.
15943,https://github.com/Qiskit/qiskit/pull/15943,Fix TemplateOptimization dropping the global_phase on substitution,global_phase_bookkeeping,high,TemplateOptimization failed to propagate and correctly accumulate global_phase through circuit-to-DAGDependency conversion and template substitution.
16054,https://github.com/Qiskit/qiskit/pull/16054,Fix ParameterVector global-phase panic in RemoveIdentityEquivalent,logic_error_pass_specific,med,"RemoveIdentityEquivalent detached from Python and then cloned a ParameterVector-backed SymbolExpr during a global-phase update, causing a PyO3 refcount panic rather than an incorrect phase value."
16151,https://github.com/Qiskit/qiskit/pull/16151,Fix ConstrainedReschedule barrier handling,logic_error_pass_specific,high,"Rust ConstrainedReschedule wrongly rejected barrier/directive operations instead of treating directives as unconstrained, contrary to the pass behavior."
16476,https://github.com/Qiskit/qiskit/pull/16476,Fix cache and prediction misses in Target::qargs,logic_error_pass_specific,med,"Randomized Qargs hash-map iteration degraded graph edge locality, CPU-cache behavior, and branch prediction; this is a performance regression rather than semantic nondeterministic output."
