pr,pr_url,title,your_mechanism_category,your_confidence(high/med/low),your_notes
13833,https://github.com/Qiskit/qiskit/pull/13833,Fix tracking of routing permutation in Sabre with disjoint backends,,,
13910,https://github.com/Qiskit/qiskit/pull/13910,Propagate DAGCircuit.name in ApplyLayout,,,
13945,https://github.com/Qiskit/qiskit/pull/13945,Fix composing virtual permutation layouts for ElidePermutations and StarPreRouting,,,
14041,https://github.com/Qiskit/qiskit/pull/14041,Fix deepcopy/pickle of DAGCircuit variable IO nodes,,,
14603,https://github.com/Qiskit/qiskit/pull/14603,Fix ElidePermutations pass in the presence of PermutationGates,,,
14919,https://github.com/Qiskit/qiskit/pull/14919,Fix composition of final_layout,,,
14938,https://github.com/Qiskit/qiskit/pull/14938,Fix VF2 layout allocation with idle qubits,,,
14939,https://github.com/Qiskit/qiskit/pull/14939,Fix TranspileLayout.initial_index_layout with unordered virtuals,,,
15024,https://github.com/Qiskit/qiskit/pull/15024,Preserve registers through Python Layout to Rust TranspileLayout conversion,,,
15137,https://github.com/Qiskit/qiskit/pull/15137,Fix HighLevelSynthesis for custom gate calibrations,,,
14330,https://github.com/Qiskit/qiskit/pull/14330,Fix alignment checks of stretch variables,,,
14597,https://github.com/Qiskit/qiskit/pull/14597,Fix HLS classical-bit mapping from control-flow blocks,,,
15083,https://github.com/Qiskit/qiskit/pull/15083,Fix ConsolidateBlocks qubit mapping inside control-flow blocks,,,
15117,https://github.com/Qiskit/qiskit/pull/15117,Avoid panics in Optimize1qGatesDecomposition,,,
15131,https://github.com/Qiskit/qiskit/pull/15131,Check target gates are parameterized in optimize1qgatesdecomposition,,,
15943,https://github.com/Qiskit/qiskit/pull/15943,Fix TemplateOptimization dropping the global_phase on substitution,,,
16054,https://github.com/Qiskit/qiskit/pull/16054,Fix ParameterVector global-phase panic in RemoveIdentityEquivalent,,,
16151,https://github.com/Qiskit/qiskit/pull/16151,Fix ConstrainedReschedule barrier handling,,,
16476,https://github.com/Qiskit/qiskit/pull/16476,Fix cache and prediction misses in Target::qargs,,,
